Action space: 4
Episode 348 | Reward: 2.0 | Epsilon 0.869
Episode 349 | Reward: 1.0 | Epsilon 0.869
Episode 350 | Reward: 1.0 | Epsilon 0.868
Episode 351 | Reward: 1.0 | Epsilon 0.868
Episode 352 | Reward: 0.0 | Epsilon 0.868
Episode 353 | Reward: 5.0 | Epsilon 0.867
Episode 354 | Reward: 5.0 | Epsilon 0.866
Episode 355 | Reward: 3.0 | Epsilon 0.866
Episode 356 | Reward: 0.0 | Epsilon 0.865
Episode 357 | Reward: 0.0 | Epsilon 0.865
Episode 358 | Reward: 2.0 | Epsilon 0.865
Episode 359 | Reward: 1.0 | Epsilon 0.864
Episode 360 | Reward: 0.0 | Epsilon 0.864
Episode 361 | Reward: 3.0 | Epsilon 0.864
Episode 362 | Reward: 2.0 | Epsilon 0.863
Episode 363 | Reward: 2.0 | Epsilon 0.863
Episode 364 | Reward: 4.0 | Epsilon 0.862
Episode 365 | Reward: 0.0 | Epsilon 0.862
Episode 366 | Reward: 4.0 | Epsilon 0.861
Episode 367 | Reward: 0.0 | Epsilon 0.861
Episode 368 | Reward: 1.0 | Epsilon 0.861
Episode 369 | Reward: 0.0 | Epsilon 0.860
Episode 370 | Reward: 1.0 | Epsilon 0.860
Target updated at step 70000
Episode 371 | Reward: 0.0 | Epsilon 0.860
Episode 372 | Reward: 3.0 | Epsilon 0.859
Episode 373 | Reward: 2.0 | Epsilon 0.859
Episode 374 | Reward: 0.0 | Epsilon 0.859
Episode 375 | Reward: 0.0 | Epsilon 0.858
Episode 376 | Reward: 0.0 | Epsilon 0.858
Episode 377 | Reward: 3.0 | Epsilon 0.857
Episode 378 | Reward: 1.0 | Epsilon 0.857
Episode 379 | Reward: 0.0 | Epsilon 0.857
Episode 380 | Reward: 1.0 | Epsilon 0.856
Episode 381 | Reward: 1.0 | Epsilon 0.856
Episode 382 | Reward: 1.0 | Epsilon 0.856
Episode 383 | Reward: 0.0 | Epsilon 0.856
Episode 384 | Reward: 2.0 | Epsilon 0.855
Episode 385 | Reward: 0.0 | Epsilon 0.855
Episode 386 | Reward: 4.0 | Epsilon 0.854
Episode 387 | Reward: 1.0 | Epsilon 0.854
Episode 388 | Reward: 1.0 | Epsilon 0.853
Episode 389 | Reward: 2.0 | Epsilon 0.853
Episode 390 | Reward: 2.0 | Epsilon 0.852
Episode 391 | Reward: 1.0 | Epsilon 0.852
Episode 392 | Reward: 2.0 | Epsilon 0.852
Episode 393 | Reward: 2.0 | Epsilon 0.851
Episode 394 | Reward: 1.0 | Epsilon 0.851
Episode 395 | Reward: 0.0 | Epsilon 0.851
Episode 396 | Reward: 2.0 | Epsilon 0.850
Target updated at step 75000
Episode 397 | Reward: 2.0 | Epsilon 0.850
Episode 398 | Reward: 0.0 | Epsilon 0.849
Episode 399 | Reward: 1.0 | Epsilon 0.849
Episode 400 | Reward: 3.0 | Epsilon 0.848
Episode 401 | Reward: 0.0 | Epsilon 0.848
Episode 402 | Reward: 2.0 | Epsilon 0.848
Episode 403 | Reward: 3.0 | Epsilon 0.847
Episode 404 | Reward: 1.0 | Epsilon 0.847
Episode 405 | Reward: 0.0 | Epsilon 0.847
Episode 406 | Reward: 3.0 | Epsilon 0.846
Episode 407 | Reward: 5.0 | Epsilon 0.845
Episode 408 | Reward: 1.0 | Epsilon 0.845
Episode 409 | Reward: 2.0 | Epsilon 0.845
Episode 410 | Reward: 2.0 | Epsilon 0.844
Episode 411 | Reward: 0.0 | Epsilon 0.844
Episode 412 | Reward: 2.0 | Epsilon 0.844
Episode 413 | Reward: 3.0 | Epsilon 0.843
Episode 414 | Reward: 0.0 | Epsilon 0.843
Episode 415 | Reward: 0.0 | Epsilon 0.843
Episode 416 | Reward: 0.0 | Epsilon 0.842
Episode 417 | Reward: 2.0 | Epsilon 0.842
Episode 418 | Reward: 3.0 | Epsilon 0.841
Episode 419 | Reward: 1.0 | Epsilon 0.841
Episode 420 | Reward: 0.0 | Epsilon 0.841
Episode 421 | Reward: 0.0 | Epsilon 0.840
Episode 422 | Reward: 0.0 | Epsilon 0.840
Target updated at step 80000
Episode 423 | Reward: 2.0 | Epsilon 0.840
Episode 424 | Reward: 0.0 | Epsilon 0.840
Episode 425 | Reward: 1.0 | Epsilon 0.839
Episode 426 | Reward: 4.0 | Epsilon 0.839
Episode 427 | Reward: 0.0 | Epsilon 0.838
Episode 428 | Reward: 4.0 | Epsilon 0.838
Episode 429 | Reward: 0.0 | Epsilon 0.837
Episode 430 | Reward: 2.0 | Epsilon 0.837
Episode 431 | Reward: 0.0 | Epsilon 0.837
Episode 432 | Reward: 3.0 | Epsilon 0.836
Episode 433 | Reward: 0.0 | Epsilon 0.836
Episode 434 | Reward: 2.0 | Epsilon 0.836
Episode 435 | Reward: 0.0 | Epsilon 0.835
Episode 436 | Reward: 4.0 | Epsilon 0.835
Episode 437 | Reward: 3.0 | Epsilon 0.834
Episode 438 | Reward: 1.0 | Epsilon 0.834
Episode 439 | Reward: 1.0 | Epsilon 0.834
Episode 440 | Reward: 0.0 | Epsilon 0.833
Episode 441 | Reward: 1.0 | Epsilon 0.833
Episode 442 | Reward: 1.0 | Epsilon 0.833
Episode 443 | Reward: 0.0 | Epsilon 0.832
Episode 444 | Reward: 11.0 | Epsilon 0.831
Episode 445 | Reward: 0.0 | Epsilon 0.831
Episode 446 | Reward: 2.0 | Epsilon 0.831
Episode 447 | Reward: 0.0 | Epsilon 0.830
Episode 448 | Reward: 0.0 | Epsilon 0.830
Target updated at step 85000
Episode 449 | Reward: 0.0 | Epsilon 0.830
Episode 450 | Reward: 0.0 | Epsilon 0.830
Episode 451 | Reward: 0.0 | Epsilon 0.829
Episode 452 | Reward: 1.0 | Epsilon 0.829
Episode 453 | Reward: 2.0 | Epsilon 0.829
Episode 454 | Reward: 3.0 | Epsilon 0.828
Episode 455 | Reward: 0.0 | Epsilon 0.828
Episode 456 | Reward: 2.0 | Epsilon 0.827
Episode 457 | Reward: 2.0 | Epsilon 0.827
Episode 458 | Reward: 0.0 | Epsilon 0.827
Episode 459 | Reward: 2.0 | Epsilon 0.826
Episode 460 | Reward: 4.0 | Epsilon 0.826
Episode 461 | Reward: 1.0 | Epsilon 0.825
Episode 462 | Reward: 1.0 | Epsilon 0.825
Episode 463 | Reward: 0.0 | Epsilon 0.825
Episode 464 | Reward: 1.0 | Epsilon 0.824
Episode 465 | Reward: 0.0 | Epsilon 0.824
Episode 466 | Reward: 2.0 | Epsilon 0.824
